,,,Split 1,,,,Split 2,,,,Split 3,,,
ID,SMILES,Expr,DCW,Calc,Expr-Calc,Set,DCW,Calc,Expr-Calc,Set,DCW,Calc,Expr-Calc,Set
1,CSP(=O)(c1ccccc1)c1ccccc1,2.34,39.0137,2.5431,-0.2031,Tr,30.28552,2.6612,-0.3212,ST,34.79287,2.3165,0.0235,Ca
2,CCSP(=O)(c1ccccc1)c1ccccc1,2.69,40.13724,2.8413,-0.1513,Va,31.2953,2.9406,-0.2506,Va,36.00961,2.687,0.003,Va
3,CCCSP(=O)(c1ccccc1)c1ccccc1,3.08,40.66802,2.9822,0.0978,Tr,31.8319,3.0891,-0.0091,Ca,36.53859,2.848,0.232,ST
4,CCCCSP(=O)(c1ccccc1)c1ccccc1,3.4,41.1988,3.123,0.277,Tr,32.36849,3.2376,0.1624,ST,37.06757,3.009,0.391,Ca
5,CCCCCSP(=O)(c1ccccc1)c1ccccc1,3.66,41.72958,3.2639,0.3961,Tr,32.90509,3.3861,0.2739,ST,37.59655,3.1701,0.4899,Ca
6,CCCCCCSP(=O)(c1ccccc1)c1ccccc1,3.76,42.26035,3.4048,0.3552,Tr,33.44168,3.5345,0.2255,Ca,38.12552,3.3311,0.4289,ST
7,CC(SP(=O)(c1ccccc1)c1ccccc1)C,1.48,36.41971,1.8547,-0.3747,Te,27.32982,1.8433,-0.3633,Te,33.11544,1.8059,-0.3259,Te
8,CCC(SP(=O)(c1ccccc1)c1ccccc1)C,1.7,36.95048,1.9956,-0.2956,Tr,27.86641,1.9918,-0.2918,ST,33.64442,1.9669,-0.2669,Ca
9,CCC(SP(=O)(c1ccccc1)c1ccccc1)CC,1.85,37.35885,2.1039,-0.2539,Va,27.93889,2.0118,-0.1618,Va,33.74315,1.997,-0.147,Va
10,CSCCSP(=O)(c1ccccc1)OCC,4.79,45.55862,4.2801,0.5099,Tr,36.02292,4.2488,0.5412,ST,40.40396,4.0247,0.7653,Ca
